Waktu,ID_Armada,Tipe,Aksi,Lokasi,Muatan_kg,Jarak_Tempuh,Total_Jarak_Sementara,Pesan_Log
11:44,Gerobak_4,Gerobak,Patroli Lewat,RU_60,0,2,101,Melewati persimpangan
11:44,Truk_2,Truk,Patroli Lewat,RU_11,0,2,57,Melewati persimpangan
11:44,Truk_3,Truk,Patroli Lewat,RU_42,0,2,33,Melewati persimpangan
11:45,Gerobak_5,Gerobak,Patroli Lewat,RG_1,0,1,46,Melewati persimpangan
11:45,Gerobak_6,Gerobak,Patroli Lewat,RU_5,0,2,53,Melewati persimpangan
11:45,Gerobak_7,Gerobak,Patroli Lewat,RU_43,0,2,47,Melewati persimpangan
11:45,Truk_1,Truk,Patroli Lewat,RU_49,0,2,58,Melewati persimpangan
11:47,Truk_2,Truk,Patroli Lewat,RU_41,0,2,59,Melewati persimpangan
11:47,Truk_3,Truk,Patroli Lewat,RU_43,0,2,35,Melewati persimpangan
11:48,Gerobak_1,Gerobak,Patroli Lewat,RU_59,0,2,88,Melewati persimpangan
11:48,Gerobak_2,Gerobak,Patroli Lewat,RG_1,0,1,92,Melewati persimpangan
11:48,Gerobak_3,Gerobak,Patroli Lewat,RU_11,0,2,87,Melewati persimpangan
11:48,Gerobak_5,Gerobak,Patroli Lewat,RU_8,0,1,47,Melewati persimpangan
11:48,Truk_1,Truk,Ambil Sampah,RU_50,1,2,60,Intercept sampah! Sisa kapasitas: 164kg
11:50,Gerobak_4,Gerobak,Buang ke TPS,TPS_2,1,2,103,Bongkar muatan di TPS_2
11:51,Gerobak_2,Gerobak,Patroli Lewat,RG_2,0,1,93,Melewati persimpangan
11:51,Gerobak_5,Gerobak,Patroli Lewat,RU_7,0,2,49,Melewati persimpangan
11:51,Gerobak_6,Gerobak,Patroli Lewat,RU_6,0,2,55,Melewati persimpangan
11:51,Gerobak_7,Gerobak,Patroli Lewat,RU_44,0,2,49,Melewati persimpangan
11:54,Gerobak_1,Gerobak,Patroli Lewat,RU_58,0,2,90,Melewati persimpangan
11:54,Gerobak_2,Gerobak,Patroli Lewat,RG_3,0,1,94,Melewati persimpangan
11:54,Gerobak_3,Gerobak,Patroli Lewat,RU_41,0,2,89,Melewati persimpangan
11:57,Gerobak_5,Gerobak,Patroli Lewat,RU_6,0,2,51,Melewati persimpangan
11:57,Gerobak_6,Gerobak,Patroli Lewat,RU_7,0,2,57,Melewati persimpangan
11:57,Gerobak_7,Gerobak,Patroli Lewat,RU_45,0,2,51,Melewati persimpangan
12:03,Gerobak_5,Gerobak,Patroli Lewat,RU_5,0,2,53,Melewati persimpangan
12:03,Gerobak_6,Gerobak,Patroli Lewat,RU_8,0,2,59,Melewati persimpangan
12:03,Gerobak_7,Gerobak,Patroli Lewat,RU_46,0,2,53,Melewati persimpangan
12:09,Gerobak_5,Gerobak,Patroli Lewat,RU_4,0,2,55,Melewati persimpangan
12:09,Gerobak_6,Gerobak,Patroli Lewat,RG_1,0,1,60,Melewati persimpangan
12:09,Gerobak_7,Gerobak,Patroli Lewat,RU_47,0,2,55,Melewati persimpangan
12:12,Gerobak_6,Gerobak,Patroli Lewat,RG_2,0,1,61,Melewati persimpangan
12:15,Gerobak_5,Gerobak,Patroli Lewat,RU_21,0,2,57,Melewati persimpangan
12:15,Gerobak_6,Gerobak,Patroli Lewat,RG_3,0,1,62,Melewati persimpangan
12:15,Gerobak_7,Gerobak,Patroli Lewat,RU_48,0,2,57,Melewati persimpangan
12:18,Gerobak_6,Gerobak,Patroli Lewat,RG_4,0,1,63,Melewati persimpangan
12:21,Gerobak_5,Gerobak,Patroli Lewat,RU_22,0,2,59,Melewati persimpangan
12:21,Gerobak_6,Gerobak,Ambil Sampah,RG_5,2,1,64,Intercept sampah! Sisa kapasitas: 7kg
12:21,Gerobak_7,Gerobak,Patroli Lewat,RU_49,0,2,59,Melewati persimpangan
12:27,Gerobak_5,Gerobak,Patroli Lewat,RU_23,0,3,62,Melewati persimpangan
12:27,Gerobak_7,Gerobak,Patroli Lewat,RU_50,0,2,61,Melewati persimpangan
12:28,Gerobak_6,Gerobak,Ambil Sampah,RG_6,1,1,65,Intercept sampah! Sisa kapasitas: 6kg
12:33,Gerobak_6,Gerobak,Ambil Sampah,RG_7,2,1,66,Intercept sampah! Sisa kapasitas: 4kg
12:33,Gerobak_7,Gerobak,Patroli Lewat,RU_51,0,2,63,Melewati persimpangan
12:35,Truk_2,Truk,Patroli Lewat,RU_11,0,2,61,Melewati persimpangan
12:35,Truk_3,Truk,Patroli Lewat,RU_44,0,2,37,Melewati persimpangan
12:36,Gerobak_5,Gerobak,Patroli Lewat,RU_24,0,2,64,Melewati persimpangan
12:38,Truk_1,Truk,Patroli Lewat,RU_51,0,2,62,Melewati persimpangan
12:38,Truk_2,Truk,Patroli Lewat,RU_12,0,2,63,Melewati persimpangan
12:38,Truk_3,Truk,Patroli Lewat,RU_45,0,2,39,Melewati persimpangan
12:39,Gerobak_7,Gerobak,Buang ke TPS,TPS_1,15,2,65,Bongkar muatan di TPS_1
12:40,Gerobak_6,Gerobak,Ambil Sampah,RG_8,2,1,67,Intercept sampah! Sisa kapasitas: 2kg
12:41,Truk_1,Truk,Patroli Lewat,RU_52,0,2,64,Melewati persimpangan
12:41,Truk_2,Truk,Patroli Lewat,RU_11,0,2,65,Melewati persimpangan
12:41,Truk_3,Truk,Patroli Lewat,RU_44,0,2,41,Melewati persimpangan
12:42,Gerobak_5,Gerobak,Patroli Lewat,RU_25,0,2,66,Melewati persimpangan
12:44,Truk_1,Truk,Patroli Lewat,RU_53,0,2,66,Melewati persimpangan
12:44,Truk_2,Truk,Ambil Sampah,RU_41,1,2,67,Intercept sampah! Sisa kapasitas: 175kg
12:44,Truk_3,Truk,Patroli Lewat,RU_45,0,2,43,Melewati persimpangan
12:45,Gerobak_7,Gerobak,Patroli Lewat,RU_51,0,2,67,Melewati persimpangan
12:47,Gerobak_6,Gerobak,Ambil Sampah,RG_9,1,1,68,Intercept sampah! Sisa kapasitas: 1kg
12:47,Truk_1,Truk,Patroli Lewat,RU_54,0,2,68,Melewati persimpangan
12:47,Truk_3,Truk,Patroli Lewat,RU_46,0,2,45,Melewati persimpangan
12:48,Gerobak_5,Gerobak,Buang ke TPS,TPS_3,15,4,70,Bongkar muatan di TPS_3
12:49,Truk_2,Truk,Patroli Lewat,RU_11,0,2,69,Melewati persimpangan
12:50,Truk_1,Truk,Patroli Lewat,RU_55,0,2,70,Melewati persimpangan
12:50,Truk_3,Truk,Patroli Lewat,RU_47,0,2,47,Melewati persimpangan
12:51,Gerobak_7,Gerobak,Patroli Lewat,RU_52,0,2,69,Melewati persimpangan
12:52,Gerobak_6,Gerobak,Ambil Sampah,RG_10,1,1,69,Intercept sampah! Sisa kapasitas: 0kg
12:52,Truk_2,Truk,Patroli Lewat,RU_12,0,2,71,Melewati persimpangan
12:53,Truk_1,Truk,Patroli Lewat,RU_56,0,2,72,Melewati persimpangan
12:53,Truk_3,Truk,Patroli Lewat,RU_48,0,2,49,Melewati persimpangan
12:55,Truk_2,Truk,Patroli Lewat,RU_13,0,2,73,Melewati persimpangan
12:56,Truk_1,Truk,Patroli Lewat,RU_57,0,2,74,Melewati persimpangan
12:56,Truk_3,Truk,Patroli Lewat,RU_49,0,2,51,Melewati persimpangan
12:57,Gerobak_6,Gerobak,Patroli Lewat,RG_9,0,1,70,Melewati persimpangan
12:57,Gerobak_7,Gerobak,Patroli Lewat,RU_53,0,2,71,Melewati persimpangan
12:58,Truk_2,Truk,Patroli Lewat,RU_14,0,2,75,Melewati persimpangan
12:59,Truk_1,Truk,Ambil Sampah,RU_58,1,2,76,Intercept sampah! Sisa kapasitas: 163kg
12:59,Truk_3,Truk,Patroli Lewat,RU_50,0,2,53,Melewati persimpangan
